Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\EEG_Trigger\Project Outputs for EEG_Trigger\Pick Place\Pick Place for EEG_Trigger.csv

========================================================================================================================
File Design Information:

Date:       21/01/26
Time:       23:38
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R16","1k?","TopLayer","RESC1005X37N","1080.000","630.000","180","RES 1K OHM 1% 1/16W 0402"
"R15","20k? 0603","TopLayer","RESC1508X55N","985.000","650.000","0","20 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R14","10K","TopLayer","RESC1005X37N","1030.000","715.000","0","RES 10K OHM 1% 1/16W 0402"
"R13","47.5K","TopLayer","RESC1005X37N","1070.000","265.000","0","47.5 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R12","22.1K","TopLayer","RESC2012X60N","1050.000","325.000","180","22.1 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film"
"R11","1k?","TopLayer","RESC1005X37N","1125.000","410.000","90","RES 1K OHM 1% 1/16W 0402"
"C18","100nF, 50V","TopLayer","CAPC1005X65N","959.856","353.337","270","CAP CER 0.1UF 50V X7R 0402"
"C6","4.7uF, 16V","TopLayer","CAPC1005X65N","832.795","400.000","0","CAP CER 4.7UF 16V X5R 0402"
"D5","GREEN","TopLayer","LED0402G","180.000","125.000","270","LED GREEN 0402 SMD"
"R10","1K","TopLayer","RESC1005X37N","2095.000","97.008","90","RES 1K OHM 1% 1/16W 0402"
"D4","GREEN","TopLayer","LED0402G","2035.000","98.701","270","LED GREEN 0402 SMD"
"R9","100?","TopLayer","RESC1508X55N","2475.000","1060.000","90","Yageo RC0603FR-07100RL 0603 SMD Resistor 100 Ohm thin film chip resistor"
"R28","1K","TopLayer","RESC1005X37N","245.000","122.008","90","RES 1K OHM 1% 1/16W 0402"
"R27","1K","TopLayer","RESC1005X37N","235.000","1172.008","90","RES 1K OHM 1% 1/16W 0402"
"D9","GREEN","TopLayer","LED0402G","165.000","1173.701","270","LED GREEN 0402 SMD"
"XTAL1","ABM8G","TopLayer","XTAL_ABM8G-16.000MHZ-18-D2Y-T","1645.000","200.000","0","16 MHz ±20ppm Crystal 18pF 80 Ohms 4-SMD, No Lead"
"U4","NXE1","TopLayer","NXE1S0505MC_MUR","2185.000","995.000","90","Isolated Module DC DC Converter 1 Output 5V 200mA 4.5V - 5.5V Input"
"U3","ATMEGA328P-AU","TopLayer","QFP80P900X900X120-32N","1455.000","495.000","90","AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 32-TQFP (7x7)"
"U2","6N137","TopLayer","DIP762W50P254L977H451Q8","2245.000","499.252","0","Logic Output Optoisolator 10MBd Open Collector 5000Vrms 1 Channel 10kV/µs CMTI 8-DIP"
"U1","CP2102N","TopLayer","QFN50P400X400X80-25N","997.362","499.252","0","USB Bridge, USB to UART USB 2.0 UART Interface 24-QFN (4x4)"
"R8","10K","TopLayer","RESC1005X37N","1215.000","572.008","90","RES 10K OHM 1% 1/16W 0402"
"R7","4K7","TopLayer","RESC1005X37N","2475.000","1165.000","90","RES 4.7K OHM 1% 1/16W 0402"
